"term","country","topic"
"1","A que hora juega Argentina","Argentina","Sports"
"2","Alcaraz","Argentina","Sports"
"3","Argentina Ecuador","Argentina","Sports"
"4","Argentina Guatemala","Argentina","Sports"
"5","Argentina Paraguay Sub 23","Argentina","Sports"
"6","Argentina Sub 23","Argentina","Sports"
"7","Argentina vs","Argentina","Sports"
"8","Argentina vs Chile","Argentina","Sports"
"9","Argentina vs Ecuador","Argentina","Sports"
"10","Argentina vs canada","Argentina","Sports"
"11","Arsenal Vélez","Argentina","Sports"
"12","Barracas Central Huracán","Argentina","Sports"
"13","Boca Juniors Vélez","Argentina","Sports"
"14","Bolivia","Argentina","Sports"
"15","Boston Celtics","Argentina","Sports"
"16","CONMEBOL Copa América","Argentina","Sports"
"17","Colombia vs Paraguay","Argentina","Sports"
"18","Copa america","Argentina","Sports"
"19","Croacia vs","Argentina","Sports"
"20","Croacia vs Italia","Argentina","Sports"
"21","Deportivo Riestra River Plate","Argentina","Sports"
"22","Ecuador Jamaica","Argentina","Sports"
"23","Ecuador vs Venezuela","Argentina","Sports"
"24","España Italia","Argentina","Sports"
"25","España vs Croacia","Argentina","Sports"
"26","Estados Unidos vs","Argentina","Sports"
"27","Estudiantes Godoy Cruz","Argentina","Sports"
"28","F1","Argentina","Sports"
"29","Francia Polonia","Argentina","Sports"
"30","Francia vs","Argentina","Sports"
"31","Francia vs Holanda","Argentina","Sports"
"32","Francia vs paises Bajos","Argentina","Sports"
"33","Gary Medel","Argentina","Sports"
"34","Grêmio Estudiantes","Argentina","Sports"
"35","Independiente","Argentina","Sports"
"36","Inter Miami Columbus Crew","Argentina","Sports"
"37","Messi","Argentina","Sports"
"38","México Brasil","Argentina","Sports"
"39","México Uruguay","Argentina","Sports"
"40","Alperovich","Argentina","Politics"
"41","Claudia Sheinbaum","Argentina","Politics"
"42","Diaz Ayuso","Argentina","Politics"
"43","Horacio Rodríguez Larreta","Argentina","Politics"
"44","Dolar hoy","Argentina","Business & Finance"
"45","Globant","Argentina","Business & Finance"
"46","Celine Dion","Argentina","Entertainment"
"47","Charly garcia","Argentina","Entertainment"
"48","Gran Hermano","Argentina","Entertainment"
"49","La Casa del dragon","Argentina","Entertainment"
"50","Don Omar","Argentina","Music"
"51","Duki","Argentina","Music"
"52","Belmonte","Argentina","Culture & Society"
"53","Brunenger","Argentina","Culture & Society"
"54","Feliz dia del Padre","Argentina","Culture & Society"
"55","Furia","Argentina","Culture & Society"
"56","Georgina Rodríguez","Argentina","Culture & Society"
"57","Dia del Boludo","Argentina","Lifestyle"
"58","Día del Padre","Argentina","Lifestyle"
"59","Caso Loan","Argentina","Health & Medicine"
"60","Georgia","Argentina","Science & Technology"
"61","Clima","Argentina","Environment"
"62","Loan Corrientes","Argentina","Economy"
"63","Ley Bases","Argentina","Education"
"64","Ley de Bases","Argentina","Education"
"65","NBA","Argentina","Sports"
"66","Partido Argentina","Argentina","Sports"
"67","Peru vs canada","Argentina","Sports"
"68","Perú Paraguay","Argentina","Sports"
"69","Philadelphia Inter Miami","Argentina","Sports"
"70","Platense Huracán","Argentina","Sports"
"71","Racing","Argentina","Sports"
"72","River","Argentina","Sports"
"73","River vs Tigre","Argentina","Sports"
"74","Rosario Central Lanús","Argentina","Sports"
"75","San Lorenzo","Argentina","Sports"
"76","Talleres","Argentina","Sports"
"77","Talleres Colón","Argentina","Sports"
"78","Uruguay","Argentina","Sports"
"79","Uruguay vs Bolivia","Argentina","Sports"
"80","Velez","Argentina","Sports"
"81","Venezuela vs mexico","Argentina","Sports"
"82","Zverev","Argentina","Sports"
"83","Alcaraz","Australia","Sports"
"84","Alex de Minaur","Australia","Sports"
"85","Cate Campbell","Australia","Sports"
"86","Cody Simpson","Australia","Sports"
"87","Connor Garden-Bachop","Australia","Sports"
"88","Conor McGregor","Australia","Sports"
"89","Croatia vs Albania","Australia","Sports"
"90","Emily Seebohm","Australia","Sports"
"91","Essendon","Australia","Sports"
"92","Euro 2024","Australia","Sports"
"93","F1","Australia","Sports"
"94","F1 canada","Australia","Sports"
"95","Formula 1","Australia","Sports"
"96","Bryson DeChambeau","Australia","Sports"
"97","Pedro Brieger","Argentina","Politics"
"98","Polonia","Argentina","Politics"
"99","Portugal","Argentina","Politics"
"100","Portugal - Irlanda","Argentina","Politics"
"101","Claudia Sheinbaum","Australia","Politics"
"102","India election 2024","Australia","Politics"
"103","Patito Feo","Argentina","Entertainment"
"104","Paul McCartney","Argentina","Entertainment"
"105","Rocio Robles","Argentina","Entertainment"
"106","Quien se fue DE GRAN HERMANO","Argentina","Entertainment"
"107","Baby Reindeer","Australia","Entertainment"
"108","Bridgerton Season 3 part 2","Australia","Entertainment"
"109","Crazy Town","Australia","Entertainment"
"110","Jerry Seinfeld","Australia","Entertainment"
"111","House of the Dragon","Australia","Entertainment"
"112","Nelson Castro","Argentina","Culture & Society"
"113","Ian McKellen","Australia","Culture & Society"
"114","Nodal","Argentina","Music"
"115","Celine Dion","Australia","Music"
"116","John Farnham","Australia","Music"
"117","Dagestan","Australia","Travel & Tourism"
"118","Father's Day","Australia","Lifestyle"
"119","Alexa Leary","Australia","Science & Technology"
"120","Hey Hey It's Saturday","Australia","Science & Technology"
"121","Johnny Furphy","Australia","Science & Technology"
"122","Iga Swiatek","Australia","Science & Technology"
"123","Jacques Villeneuve","Australia","Science & Technology"
"124","Jerry West","Australia","Science & Technology"
"125","Paro de trenes","Argentina","Health & Medicine"
"126","Donald Sutherland","Australia","Health & Medicine"
"127","Dustin Martin","Australia","Health & Medicine"
"128","Gordon Ramsay bike accident","Australia","Health & Medicine"
"129","Josh Giddey","Australia","Sports"
"130","Matija Sarkic","Australia","Sports"
"131","Matildas","Australia","Sports"
"132","NBA","Australia","Sports"
"133","NBA Draft","Australia","Sports"
"134","NBA Finals","Australia","Sports"
"135","NHL","Australia","Sports"
"136","NRL","Australia","Sports"
"137","NRL State of Origin","Australia","Sports"
"138","Rabbitohs vs Sea Eagles","Australia","Sports"
"139","Rob Burrow","Australia","Sports"
"140","Rory McIlroy","Australia","Sports"
"141","Socceroos","Australia","Sports"
"142","Spanish GP","Australia","Sports"
"143","State of Origin","Australia","Sports"
"144","State of Origin Game 2","Australia","Sports"
"145","Super Rugby final","Australia","Sports"
"146","Swans","Australia","Sports"
"147","Swimming Trials","Australia","Sports"
"148","T20","Australia","Sports"
"149","T20 World Cup","Australia","Sports"
"150","U.S. Open golf","Australia","Sports"
"151","UFC","Australia","Sports"
"152","Women's State of Origin","Australia","Sports"
"153","Alcaraz","Austria","Sports"
"154","Alexander Zverev","Austria","Sports"
"155","Barnabas Varga","Austria","Sports"
"156","Julian Assange","Australia","Politics"
"157","Matt Kean","Australia","Politics"
"158","Pauline Hanson Robert Irwin cartoon","Australia","Politics"
"159","Peter Costello","Australia","Politics"
"160","Presidential debate","Australia","Politics"
"161","Princess Anne","Australia","Politics"
"162","Trooping the Colour","Australia","Politics"
"163","Vladimir Putin","Australia","Politics"
"164","Claudia Sheinbaum","Austria","Politics"
"165","Justin Timberlake","Australia","Entertainment"
"166","MrBeast","Australia","Entertainment"
"167","The Acolyte","Australia","Entertainment"
"168","The Bear","Australia","Entertainment"
"169","The Boys","Australia","Entertainment"
"170","Bad Boys","Austria","Entertainment"
"171","Kalki","Australia","Culture & Society"
"172","King's Birthday honours Australia 2024","Australia","Culture & Society"
"173","Natasha Ryan","Australia","Culture & Society"
"174","World Ugliest Dog","Australia","Culture & Society"
"175","Brigitte Bierlein Begräbnis","Austria","Culture & Society"
"176","Brigitte Bierlein Bundeskanzlerin","Austria","Culture & Society"
"177","Minimum wage Australia","Australia","Economy"
"178","RBA","Australia","Economy"
"179","Nvidia","Australia","Business & Finance"
"180","P&O Cruises Australia","Australia","Business & Finance"
"181","Port Adelaide","Australia","Business & Finance"
"182","Ticketmaster","Australia","Business & Finance"
"183","Michael Mosley","Australia","Health & Medicine"
"184","Michael Mosley found","Australia","Health & Medicine"
"185","Quantum","Australia","Science & Technology"
"186","Teams","Australia","Science & Technology"
"187","iOS 18","Australia","Science & Technology"
"188","Apple","Austria","Science & Technology"
"189","Trigger Warning","Australia","Lifestyle"
"190","Winter Solstice","Australia","Environment"
"191","Deutschland Schottland","Austria","Sports"
"192","Deutschland Schweiz","Austria","Sports"
"193","Deutschland Ukraine","Austria","Sports"
"194","Deutschland Ungarn","Austria","Sports"
"195","Deutschland vs Schottland","Austria","Sports"
"196","Djokovic","Austria","Sports"
"197","EM","Austria","Sports"
"198","EM Tabelle","Austria","Sports"
"199","EM heute","Austria","Sports"
"200","Europameisterschaft","Austria","Sports"
"201","Formel 1","Austria","Sports"
"202","Formel-1 Spielberg","Austria","Sports"
"203","Frankreich - Polen","Austria","Sports"
"204","Frankreich Niederlande","Austria","Sports"
"205","Frankreich Österreich","Austria","Sports"
"206","Fussball EM","Austria","Sports"
"207","Italien Albanien","Austria","Sports"
"208","Jannik Sinner","Austria","Sports"
"209","Kroatien Albanien","Austria","Sports"
"210","Kroatien Italien","Austria","Sports"
"211","Edin Terzic","Austria","Sports"
"212","England Dänemark","Austria","Sports"
"213","England Serbien","Austria","Sports"
"214","Mbappe","Austria","Sports"
"215","Michael Schumacher","Austria","Sports"
"216","Polen Niederlande","Austria","Sports"
"217","Polen – Österreich","Austria","Sports"
"218","Portugal Georgien","Austria","Sports"
"219","Portugal Tschechien","Austria","Sports"
"220","Rumänien Ukraine","Austria","Sports"
"221","Sabitzer","Austria","Sports"
"222","Sabitzer Marcel","Austria","Sports"
"223","Schweiz Schottland","Austria","Sports"
"224","Schweiz – Österreich","Austria","Sports"
"225","Sebastian Ofner","Austria","Sports"
"226","Serbien Dänemark","Austria","Sports"
"227","Serbien Slowenien","Austria","Sports"
"228","Sinner Alcaraz","Austria","Sports"
"229","Slowenien - Dänemark","Austria","Sports"
"230","Spanien Albanien","Austria","Sports"
"231","Spanien Kroatien","Austria","Sports"
"232","Toni Kroos","Austria","Sports"
"233","Türkei","Austria","Sports"
"234","Türkei Georgien","Austria","Sports"
"235","Türkei Portugal","Austria","Sports"
"236","Donald Sutherland","Austria","Culture & Society"
"237","Fredl Fesl","Austria","Culture & Society"
"238","Franz Kafka","Austria","Culture & Society"
"239","GNTM Finale 2024","Austria","Entertainment"
"240","GNTM-Finale 2024","Austria","Entertainment"
"241","Mallorca Flughafen","Austria","Travel & Tourism"
"242","FTI","Austria","Travel & Tourism"
"243","Le Mans 2024","Austria","Travel & Tourism"
"244","Fronius","Austria","Science & Technology"
"245","Sophia Thiel","Austria","Health & Medicine"
"246","Eric Philippi","Austria","Lifestyle"
"247","Jeanne Córdova","Austria","Lifestyle"
"248","Tamayo Perry","Austria","Lifestyle"
"249","EU-Wahl Deutschland","Austria","Politics"
"250","EU-Wahl österreich","Austria","Politics"
"251","EVP","Austria","Politics"
"252","Europawahl 2024","Austria","Politics"
"253","Kubitschek","Austria","Politics"
"254","EZB","Austria","Business & Finance"
"255","Hagel","Austria","Environment"
"256","Renaturierungsgesetz","Austria","Environment"
"257","Donauinselfest 2024","Austria","Music"
"258","Donald Sutherland","Austria","Culture & Society"
"259","Fredl Fesl","Austria","Culture & Society"
"260","Franz Kafka","Austria","Culture & Society"
"261","GNTM Finale 2024","Austria","Entertainment"
"262","GNTM-Finale 2024","Austria","Entertainment"
"263","Wahlergebnisse Österreich","Austria","Politics"
"264","Wladimir Putin","Austria","Politics"
"265","Claudia Sheinbaum","Belgium","Politics"
"266","Annick De Ridder","Belgium","Politics"
"267","Bart De Wever","Belgium","Politics"
"268","Conner Rousseau","Belgium","Politics"
"269","Eric Ciotti","Belgium","Politics"
"270","Chris Janssens","Belgium","Politics"
"271","Els van Doesburg","Belgium","Politics"
"272","Vasiliki Alexandri","Austria","Sports"
"273","Zverev","Austria","Sports"
"274","Alcaraz","Belgium","Sports"
"275","Alexander Doom","Belgium","Sports"
"276","Arda guler","Belgium","Sports"
"277","Arnaud De Lie","Belgium","Sports"
"278","Barnabas Varga","Belgium","Sports"
"279","De Bruyne","Belgium","Sports"
"280","Djokovic","Belgium","Sports"
"281","Iga Świątek","Belgium","Sports"
"282","Ali B","Belgium","Music"
"283","Guillaume Meurice","Belgium","Music"
"284","Chanson raciste","Belgium","Music"
"285","AI","Belgium","Science & Technology"
"286","Apple","Belgium","Science & Technology"
"287","Unwetter Steiermark","Austria","Environment"
"288","Incendie Bruxelles","Belgium","Environment"
"289","Wolfgang Joop","Austria","Culture & Society"
"290","Casa","Belgium","Culture & Society"
"291","Donald Sutherland","Belgium","Culture & Society"
"292","Bridgerton","Belgium","Entertainment"
"293","HBO Max belgie","Belgium","Entertainment"
"294","Il faut sauver le soldat Ryan","Belgium","Entertainment"
"295","Vollmond","Austria","Lifestyle"
"296","Joe Biden","Belgium","Politics"
"297","Julian Assange","Belgium","Politics"
"298","MR","Belgium","Politics"
"299","Marion Maréchal","Belgium","Politics"
"300","N-VA","Belgium","Politics"
"301","PTB","Belgium","Politics"
"302","RN","Belgium","Politics"
"303","Resultat Election","Belgium","Politics"
"304","Resultat Election Belgique","Belgium","Politics"
"305","RÉSultats des élections européennes","Belgium","Politics"
"306","RÉSultats des élections à Union européenne","Belgium","Politics"
"307","Biden","Brazil","Politics"
"308","Kevin De Bruyne","Belgium","Sports"
"309","Kylian Mbappé","Belgium","Sports"
"310","Lamine Yamal","Belgium","Sports"
"311","LeBron James","Belgium","Sports"
"312","Lukaku","Belgium","Sports"
"313","Match Belgique","Belgium","Sports"
"314","Match Euro 2024","Belgium","Sports"
"315","Match France","Belgium","Sports"
"316","Mbappe","Belgium","Sports"
"317","Nafi Thiam","Belgium","Sports"
"318","Nederland - Frankrijk","Belgium","Sports"
"319","Nederland - Oostenrijk","Belgium","Sports"
"320","Nederland Polen","Belgium","Sports"
"321","Nico Williams","Belgium","Sports"
"322","Oekraïne-België","Belgium","Sports"
"323","Pays-Bas – Autriche","Belgium","Sports"
"324","Portugal Tsjechië","Belgium","Sports"
"325","Ronaldo","Belgium","Sports"
"326","Roumanie Ukraine","Belgium","Sports"
"327","Shaqiri","Belgium","Sports"
"328","Sinner","Belgium","Sports"
"329","Slovaquie – Roumanie","Belgium","Sports"
"330","Spanje italie","Belgium","Sports"
"331","Spanje kroatie","Belgium","Sports"
"332","Suisse – Allemagne","Belgium","Sports"
"333","Tsitsipas","Belgium","Sports"
"334","Zverev","Belgium","Sports"
"335","America mg","Brazil","Sports"
"336","Anderson Silva","Brazil","Sports"
"337","Argentina","Brazil","Sports"
"338","Argentina x Equador","Brazil","Sports"
"339","Athletico-PR x Corinthians","Brazil","Sports"
"340","Atlético-MG x Bahia","Brazil","Sports"
"341","Atlético-MG x Fortaleza","Brazil","Sports"
"342","Atlético-MG x Palmeiras","Brazil","Sports"
"343","Bahia x Cruzeiro","Brazil","Sports"
"344","Bahia x Vasco da Gama","Brazil","Sports"
"345","Botafogo","Brazil","Sports"
"346","Botafogo x Fluminense","Brazil","Sports"
"347","Bragantino x Juventude","Brazil","Sports"
"348","Ceara","Brazil","Sports"
"349","Celtics x Mavericks","Brazil","Sports"
"350","Chapecoense","Brazil","Sports"
"351","Colômbia x Paraguai","Brazil","Sports"
"352","Corinthians","Brazil","Sports"
"353","Matija Sarkic","Belgium","Science & Technology"
"354","Medvedev","Belgium","Science & Technology"
"355","Rybakina","Belgium","Science & Technology"
"356","Juliette Goormans","Belgium","Culture & Society"
"357","Matthias Diependaele","Belgium","Culture & Society"
"358","Pierre-Yves Jeholet","Belgium","Culture & Society"
"359","Trooping the Colour","Belgium","Culture & Society"
"360","Maroc Congo","Belgium","Culture & Society"
"361","Thomas Dutronc","Belgium","Culture & Society"
"362","Un homme et une femme","Belgium","Culture & Society"
"363","Rammstein Oostende","Belgium","Entertainment"
"364","Tamayo Perry","Belgium","Entertainment"
"365","Corinthians x São Paulo","Brazil","Sports"
"366","Coritiba","Brazil","Sports"
"367","Coritiba x Ituano","Brazil","Sports"
"368","Criciúma x Botafogo","Brazil","Sports"
"369","Criciúma x Cuiabá","Brazil","Sports"
"370","Croácia x Itália","Brazil","Sports"
"371","Cruzeiro","Brazil","Sports"
"372","Dinamarca x Inglaterra","Brazil","Sports"
"373","Espanha x Croácia","Brazil","Sports"
"374","Flamengo","Brazil","Sports"
"375","Fluminense","Brazil","Sports"
"376","Fluminense x Flamengo","Brazil","Sports"
"377","Fortaleza","Brazil","Sports"
"378","Fortaleza x Athletico-PR","Brazil","Sports"
"379","França x Polônia","Brazil","Sports"
"380","Geórgia x Portugal","Brazil","Sports"
"381","Grêmio","Brazil","Sports"
"382","Internacional","Brazil","Sports"
"383","Holanda x França","Brazil","Sports"
"384","Holanda x Islândia","Brazil","Sports"
"385","Inglaterra x Eslovênia","Brazil","Sports"
"386","Internacional x Delfín","Brazil","Sports"
"387","Internacional x São Paulo","Brazil","Sports"
"388","Jogo da Seleção Brasileira","Brazil","Sports"
"389","Jogo do Bahia","Brazil","Sports"
"390","Jogo do Brasil","Brazil","Sports"
"391","Juventude","Brazil","Sports"
"392","Libertadores","Brazil","Sports"
"393","Palmeiras","Brazil","Sports"
"394","Palmeiras x Juventude","Brazil","Sports"
"395","Palmeiras x Vasco da Gama","Brazil","Sports"
"396","Paysandu","Brazil","Sports"
"397","Peru x Chile","Brazil","Sports"
"398","Portugal seleção","Brazil","Sports"
"399","Portugal x Croácia","Brazil","Sports"
"400","Portugal x Finlândia","Brazil","Sports"
"401","Portugal x Irlanda","Brazil","Sports"
"402","Portugal x Tchéquia","Brazil","Sports"
"403","Santos","Brazil","Sports"
"404","Seleção brasileira","Brazil","Sports"
"405","Serie a","Brazil","Sports"
"406","Sport","Brazil","Sports"
"407","Sul-Americana","Brazil","Sports"
"408","São Paulo x Cruzeiro","Brazil","Sports"
"409","Turquia x Geórgia","Brazil","Sports"
"410","Turquia x Portugal","Brazil","Sports"
"411","Vasco","Brazil","Sports"
"412","Vasco da Gama x São Paulo","Brazil","Sports"
"413","Vitória","Brazil","Sports"
"414","Áustria x França","Brazil","Sports"
"415","Divertida Mente 2","Brazil","Entertainment"
"416","Luan Santana","Brazil","Entertainment"
"417","Nahim","Brazil","Entertainment"
"418","iOS 18","Brazil","Entertainment"
"419","STF","Brazil","Politics"
"420","Gabarito OBMEP 2024","Brazil","Education"
"421","OBMEP","Brazil","Education"
"422","Mensagem Dia dos Namorados","Brazil","Culture & Society"
"423","Feliz Dia dos Namorados","Brazil","Culture & Society"
"424","Noam Chomsky","Brazil","Science & Technology"
"425","Peeling de fenol","Brazil","Lifestyle"
"426","Nepobaby","Brazil","Lifestyle"
"427","Temu","Brazil","Lifestyle"
"428","Greve Metro SP","Brazil","Economy"
"429","Greve onibus sp","Brazil","Economy"
"430","Restituição Imposto de Renda","Brazil","Business & Finance"
"431","Resultado Mega-Sena","Brazil","Business & Finance"
"432","Quina de São João","Brazil","Business & Finance"
"433","Rita Lobato Velho","Brazil","Health & Medicine"
"434","Divertida Mente 2","Brazil","Entertainment"
"435","Luan Santana","Brazil","Entertainment"
"436","Nahim","Brazil","Entertainment"
"437","iOS 18","Brazil","Entertainment"
"438","AI","Canada","Science & Technology"
"439","Apple","Canada","Science & Technology"
"440","Ontario Science Centre","Canada","Science & Technology"
"441","Nintendo Direct","Canada","Science & Technology"
"442","Alcaraz","Canada","Sports"
"443","B.C. Lions","Canada","Sports"
"444","Bronny James Draft","Canada","Sports"
"445","Bryson DeChambeau","Canada","Sports"
"446","Canada Soccer","Canada","Sports"
"447","Carlos Alcaraz","Canada","Sports"
"448","Celtics","Canada","Sports"
"449","Celtics vs Mavericks","Canada","Sports"
"450","Chile vs Argentina","Canada","Sports"
"451","Connor McDavid","Canada","Sports"
"452","Copa America 2024","Canada","Sports"
"453","Croatia vs Albania","Canada","Sports"
"454","Davion Mitchell","Canada","Sports"
"455","Djokovic","Canada","Sports"
"456","Edmonton Oilers","Canada","Sports"
"457","England vs Slovenia","Canada","Sports"
"458","Euros","Canada","Sports"
"459","F1","Canada","Sports"
"460","F1 montreal","Canada","Sports"
"461","Germany vs Hungary","Canada","Sports"
"462","Germany vs Scotland","Canada","Sports"
"463","Gervonta Davis","Canada","Sports"
"464","IND vs PAK","Canada","Sports"
"465","India vs England","Canada","Sports"
"466","India vs Pakistan","Canada","Sports"
"467","LeBron James","Canada","Sports"
"468","Max Verstappen","Canada","Sports"
"469","Mbappe","Canada","Sports"
"470","Memorial Cup","Canada","Sports"
"471","NBA","Canada","Sports"
"472","NBA Draft","Canada","Sports"
"473","NBA Finals","Canada","Sports"
"474","NHL","Canada","Sports"
"475","NHL Awards 2024","Canada","Sports"
"476","Oilers","Canada","Sports"
"477","Oilers Game","Canada","Sports"
"478","Oilers vs Panthers","Canada","Sports"
"479","Portugal Euro 2024","Canada","Sports"
"480","Portugal vs Czechia","Canada","Sports"
"481","Bank of Canada","Canada","Economy"
"482","Berkshire Hathaway stock","Canada","Economy"
"483","GME stock","Canada","Economy"
"484","Nvidia stock","Canada","Economy"
"485","D-Day","Canada","Culture & Society"
"486","Juneteenth","Canada","Culture & Society"
"487","National Indigenous Peoples Day","Canada","Culture & Society"
"488","Claudia Sheinbaum","Canada","Politics"
"489","Hunter Biden","Canada","Politics"
"490","India Election Results","Canada","Politics"
"491","Modi","Canada","Politics"
"492","NATO","Canada","Politics"
"493","Celine Dion","Canada","Entertainment"
"494","Crazy Town","Canada","Entertainment"
"495","Donald Sutherland","Canada","Entertainment"
"496","Foolio","Canada","Entertainment"
"497","House of the Dragon","Canada","Entertainment"
"498","Inside Out 2","Canada","Entertainment"
"499","Justin Timberlake","Canada","Entertainment"
"500","Pat Sajak","Canada","Entertainment"
"501","Frank Stronach","Canada","Business & Finance"
"502","Dragon Boat Festival","Canada","Travel & Tourism"
"503","Gordon Ramsay bike accident","Canada","Food & Drink"
"504","Joey Chestnut","Canada","Food & Drink"
"505","Father's Day","Canada","Lifestyle"
"506","Fête des Pères","Canada","Lifestyle"
"507","Happy Father's Day","Canada","Lifestyle"
"508","King Charles","Canada","Lifestyle"
"509","Heat warning","Canada","Environment"
"510","Bronny James Draft","Canada","Health & Medicine"
"511","Carolyn Parrish","Canada","Education"
"512","TTC strike","Canada","Politics"
"513","TTC strike 2024","Canada","Politics"
"514","TTC strike Update","Canada","Politics"
"515","Presidential debate","Canada","Politics"
"516","Toronto by election","Canada","Politics"
"517","Vladimir Putin","Canada","Politics"
"518","Richmond Fire","Canada","Environment"
"519","Severe thunderstorm warning","Canada","Environment"
"520","Severe thunderstorm watch","Canada","Environment"
"521","Tornado warning","Canada","Environment"
"522","Clima","Chile","Environment"
"523","Taux directeur","Canada","Health & Medicine"
"524","Colmena","Chile","Health & Medicine"
"525","The Acolyte","Canada","Entertainment"
"526","Bridgerton","Chile","Entertainment"
"527","Canal 13","Chile","Entertainment"
"528","World Ugliest Dog contest","Canada","Entertainment"
"529","Zac Efron","Canada","Entertainment"
"530","Robert MacIntyre","Canada","Sports"
"531","Sergei Berezin","Canada","Sports"
"532","Travelers Championship","Canada","Sports"
"533","U.S. Open golf","Canada","Sports"
"534","UFC","Canada","Sports"
"535","West Indies vs South Africa","Canada","Sports"
"536","Zverev","Canada","Sports"
"537","Alcaraz","Chile","Sports"
"538","Alejandro Tabilo","Chile","Sports"
"539","Boston Celtics","Chile","Sports"
"540","Cristiano Ronaldo","Canada","Sports"
"541","Christian Nodal","Chile","Sports"
"542","Alexis Sánchez","Chile","Sports"
"543","Argentina","Chile","Sports"
"544","Alemania vs","Chile","Sports"
"545","Argentina vs","Chile","Sports"
"546","Belgica vs","Chile","Sports"
"547","Boca","Chile","Sports"
"548","Bolivia","Chile","Sports"
"549","Brasil vs","Chile","Sports"
"550","CONMEBOL Copa América","Chile","Sports"
"551","Chile vs Paraguay","Chile","Sports"
"552","Chile vs Canada","Chile","Sports"
"553","Chile vs Peru","Chile","Sports"
"554","Claudio Bravo","Chile","Sports"
"555","Colo Colo","Chile","Sports"
"556","Colo Colo vs","Chile","Sports"
"557","Colo-colo Copiapó","Chile","Sports"
"558","Colombia Bolivia","Chile","Sports"
"559","Colombia Paraguay","Chile","Sports"
"560","Copa Chile","Chile","Sports"
"561","Copa Libertadores","Chile","Sports"
"562","Copa America","Chile","Sports"
"563","Coquimbo Unido","Chile","Sports"
"564","Coquimbo Unido Palestino","Chile","Sports"
"565","Coquimbo Unido u Católica","Chile","Sports"
"566","Croacia vs","Chile","Sports"
"567","Dario Osorio","Chile","Sports"
"568","Ecuador Jamaica","Chile","Sports"
"569","España vs","Chile","Sports"
"570","España vs Croacia","Chile","Sports"
"571","Estados Unidos vs","Chile","Sports"
"572","Eurocopa","Chile","Sports"
"573","Everton U. de Chile","Chile","Sports"
"574","Feriado 20 de junio","Chile","Sports"
"575","F1","Chile","Sports"
"576","Formula 1","Chile","Sports"
"577","Francia Luxemburgo","Chile","Sports"
"578","Francia vs","Chile","Sports"
"579","Francia vs paises Bajos","Chile","Sports"
"580","Christian Nodal","Chile","Sports"
"581","Banco Falabella","Chile","Business & Finance"
"582","Cyber","Chile","Business & Finance"
"583","Cote lopez","Chile","Culture & Society"
"584","Cristina Tocco","Chile","Culture & Society"
"585","Día del padre","Chile","Culture & Society"
"586","Fallecimiento hija senador Quintana","Chile","Culture & Society"
"587","WestJet strike","Canada","Travel & Tourism"
"588","Diego Urrutia","Chile","Lifestyle"
"589","Futbol chileno","Chile","Sports"
"590","Georgia  Portugal","Chile","Sports"
"591","Huachipato","Chile","Sports"
"592","Inglaterra vs","Chile","Sports"
"593","Italia vs","Chile","Sports"
"594","Messi","Chile","Sports"
"595","Mexico vs","Chile","Sports"
"596","Municipal Puente Alto  u de Chile","Chile","Sports"
"597","México  Brasil","Chile","Sports"
"598","México  Uruguay","Chile","Sports"
"599","NBA","Chile","Sports"
"600","O'Higgins  colo-colo","Chile","Sports"
"601","Paul McCartney","Chile","Sports"
"602","Países Bajos  Austria","Chile","Sports"
"603","Peru vs Salvador","Chile","Sports"
"604","Perú  Paraguay","Chile","Sports"
"605","Portugal vs","Chile","Sports"
"606","Sabalenka","Chile","Sports"
"607","Serbia - Inglaterra","Chile","Sports"
"608","Suiza vs","Chile","Sports"
"609","Turquia vs","Chile","Sports"
"610","Union Española","Chile","Sports"
"611","Uruguay vs","Chile","Sports"
"612","Uruguay vs panama","Chile","Sports"
"613","Wanderers","Chile","Sports"
"614","Zverev","Chile","Sports"
"615","Albania  España","Colombia","Sports"
"616","Alcaraz","Colombia","Sports"
"617","Alemania  Ucrania","Colombia","Sports"
"618","Alemania - Hungría","Colombia","Sports"
"619","Alemania vs","Colombia","Sports"
"620","America de Cali","Colombia","Sports"
"621","Argentina  Ecuador","Colombia","Sports"
"622","Argentina - Guatemala","Colombia","Sports"
"623","Atlético Nacional","Colombia","Sports"
"624","Belgica vs","Colombia","Sports"
"625","CONMEBOL Copa América","Colombia","Sports"
"626","Colombia  Bolivia","Colombia","Sports"
"627","Colombia vs","Colombia","Sports"
"628","Colombia vs Costa Rica","Colombia","Sports"
"629","Colombia vs Paraguay","Colombia","Sports"
"630","Copa América","Colombia","Sports"
"631","Copa america","Colombia","Sports"
"632","Copa america 2024","Colombia","Sports"
"633","Croacia  Italia","Colombia","Sports"
"634","Croacia vs","Colombia","Sports"
"635","Celtics  Mavericks","Colombia","Sports"
"636","Carlos Alcaraz","Colombia","Sports"
"637","Joe Biden","Chile","Politics"
"638","Primarias 2024","Chile","Politics"
"639","Resultados Primarias 2024","Chile","Politics"
"640","Claudia Sheinbaum","Colombia","Politics"
"641","Paul McCartney","Chile","Music"
"642","Carlos Alcaraz","Colombia","Music"
"643","Christian Nodal","Colombia","Music"
"644","LATAM","Chile","Business & Finance"
"645","Mercado Libre","Chile","Business & Finance"
"646","Chiquita Brands","Colombia","Business & Finance"
